Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABD_smooth,angle_smooth,dmotor,cycle,L_est_cm,theta_from_R(compose)
89366,4,Extend,>>,923,86.95,458,403,601,-4.363793133852904,94.768,-3.8840000000000003,2,-0.8793006235158991,-6.181722255161091
89478,4,Extend,>>,878,83.08,458,405,599,-5.253081510474969,90.866,-3.902000000000001,2,-0.8793006235158991,-6.181722255161091
89588,4,Extend,>>,833,79.21,458,402,594,-6.092537733737169,86.946,-3.9200000000000017,2,-0.8793006235158991,-6.181722255161091
89700,4,Extend,>>,788,75.16,457,401,597,-6.964777603602695,83.042,-3.9039999999999964,2,-0.901150667991665,-6.247504293965868
89811,4,Extend,>>,743,71.38,457,401,590,-7.898657645226283,79.15599999999999,-3.88600000000001,2,-0.901150667991665,-6.247504293965868
89922,4,Extend,>>,698,67.6,458,402,589,-8.868171211179273,75.28599999999999,-3.8700000000000045,2,-0.8793006235158991,-6.181722255161091
90034,4,Extend,>>,653,63.65,457,399,581,-9.658891229369154,71.39999999999999,-3.8859999999999957,2,-0.901150667991665,-6.247504293965868
90145,4,Extend,>>,608,59.78,455,397,579,-10.151567517434817,67.51399999999998,-3.88600000000001,2,-0.9446240183125698,-6.3674269646052215
90255,4,Extend,>>,563,56.09,456,397,575,-10.318449190956136,63.7,-3.8139999999999787,2,-0.922925132923889,-6.309393162360348
90365,4,Extend,>>,518,52.4,456,397,572,-10.474587503867948,59.903999999999996,-3.7960000000000065,2,-0.922925132923889,-6.309393162360348
90476,4,Extend,>>,473,48.53,454,393,564,-10.473554991995652,56.089999999999996,-3.814,2,-0.966247324157707,-6.421643672700639
90587,4,Extend,>>,428,44.48,451,394,562,-10.583572678600229,52.25599999999999,-3.834000000000003,2,-1.0306637644318632,-6.561768968183476
90699,4,Extend,>>,383,40.44,449,390,553,-10.210947801973733,48.38799999999999,-3.868000000000002,2,-1.0732301602302527,-6.636790562702924
90810,4,Extend,>>,338,36.66,446,386,543,-9.581061031957663,44.501999999999995,-3.8859999999999957,2,-1.1365129073512654,-6.722474942121324
90921,4,Extend,>>,293,32.79,448,380,536,-8.52368318492266,40.57999999999999,-3.922000000000004,2,-1.0943999888141334,-6.668894711314168
91032,4,Extend,>>,248,29.01,443,377,524,-7.89626486748765,36.67599999999999,-3.9040000000000035,2,-1.1991154385803924,-6.776826847122206
91143,4,Extend,>>,203,25.14,440,371,511,-7.454245854513731,32.80799999999999,-3.867999999999995,2,-1.2610377539176336,-6.800832240327328
91255,4,Extend,>>,158,21.36,436,360,501,-6.685281251103698,28.99199999999999,-3.8160000000000025,2,-1.3425427274243544,-6.787317819662146
91366,4,Extend,>>,113,17.58,433,356,491,-6.264979721312588,25.175999999999995,-3.8159999999999954,2,-1.402877872347195,-6.74428880587981
91477,4,Extend,>>,68,13.8,428,350,477,-5.700299625723456,21.377999999999993,-3.798000000000002,2,-1.5019248563477392,-6.612732988976204
91588,4,Extend,>>,23,10.02,424,346,468,-4.745585809552746,17.57999999999999,-3.798000000000002,2,-1.5798020117644023,-6.456125155250951
91700,4,Extend,>>,-22,6.33,423,345,461,-3.752296766882041,13.817999999999993,-3.7619999999999987,2,-1.5990823517597104,-6.410124443246336
