Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD
32684,5,Extend,<<,-1951,-173.98,978,151.05017511346753,178.43936107126407
32787,5,Extend,<<,-1914,-171.78,982,151.6222809119924,178.11578008056097
32890,5,Extend,<<,-1877,-168.88,985,151.05017511346753,178.43936107126407
32992,5,Extend,<<,-1840,-165.98,988,151.6222809119924,177.65390758252167
33095,5,Extend,<<,-1803,-162.73,991,151.6222809119924,177.65390758252167
33197,5,Extend,<<,-1766,-159.47,994,151.6222809119924,177.65390758252167
33300,5,Extend,<<,-1729,-156.31,997,151.29869992128954,177.9774885732245
33402,5,Extend,<<,-1692,-152.97,1000,151.22940451522985,178.213043362707
33505,5,Extend,<<,-1655,-149.71,1003,151.05017511346753,178.213043362707
33608,5,Extend,<<,-1618,-146.46,1006,151.05017511346753,177.98857164346703
33711,5,Extend,<<,-1581,-143.12,1009,151.29869992128954,177.7659302267911
33814,5,Extend,<<,-1544,-139.96,1012,150.97865439259905,178.0859757554815
33916,5,Extend,<<,-1507,-136.79,1015,151.36160339351756,177.33307069476993
34019,5,Extend,<<,-1470,-133.45,1019,151.29746519566794,177.428876986792
34121,5,Extend,<<,-1433,-130.29,1022,151.54575972966103,177.428876986792
34224,5,Extend,<<,-1396,-127.03,1025,151.55035991033841,177.4906352601483
34327,5,Extend,<<,-1359,-123.69,1028,151.8669079576114,176.95714095882064
34430,5,Extend,<<,-1322,-120.44,1031,151.3017083443074,177.51044707800102
34532,5,Extend,<<,-1285,-117.27,1034,151.61825639158042,177.19389903072778
34634,5,Extend,<<,-1248,-114.11,1037,151.61825639158042,177.19389903072778
34737,5,Extend,<<,-1211,-110.86,1040,151.61825639158042,177.19389903072778
34839,5,Extend,<<,-1174,-107.52,1043,150.91266363511502,177.82699512527387
34942,5,Extend,<<,-1137,-104.35,1046,151.8669079576114,176.95714095882064
35044,5,Extend,<<,-1100,-101.1,1049,151.3017083443074,177.27368900609378
35146,5,Extend,<<,-1063,-97.76,1052,151.79342944096098,176.95714095882064
35249,5,Extend,<<,-1026,-94.51,1055,151.16033334641497,178.04409831449
35352,5,Extend,<<,-989,-91.34,1058,150.91266363511502,177.82699512527387
35455,5,Extend,<<,-952,-88.0,1062,151.3017083443074,177.27368900609378
35558,5,Extend,<<,-915,-84.84,1065,151.8669079576114,176.95714095882064
35660,5,Extend,<<,-878,-81.76,1068,151.3017083443074,177.27368900609378
35763,5,Extend,<<,-841,-78.24,1071,151.3017083443074,177.27368900609378
35865,5,Extend,<<,-804,-74.99,1074,151.3017083443074,177.27368900609378
35967,5,Extend,<<,-767,-71.82,1077,151.3017083443074,177.27368900609378
36070,5,Extend,<<,-730,-68.57,1080,150.98516029703435,177.82699512527387
36172,5,Extend,<<,-693,-65.23,1083,150.98516029703435,177.82699512527387
36274,5,Extend,<<,-656,-62.07,1086,151.30170834430737,177.29512401426422
36377,5,Extend,<<,-619,-58.81,1089,151.2338118630654,177.82699512527387
36479,5,Extend,<<,-582,-55.56,1092,151.8669079576114,176.95714095882064
36581,5,Extend,<<,-545,-52.31,1095,151.8669079576114,176.95714095882064
36683,5,Extend,<<,-508,-48.97,1098,151.3017083443074,177.27368900609378
36785,5,Extend,<<,-471,-45.63,1101,151.61825639158042,176.95714095882064
36887,5,Extend,<<,-434,-42.37,1105,151.61825639158042,176.95714095882064
36989,5,Extend,<<,-397,-39.3,1108,151.3017083443074,177.27368900609378
37092,5,Extend,<<,-360,-36.04,1111,151.3017083443074,177.4906352601483
37194,5,Extend,<<,-323,-32.7,1114,151.3017083443074,177.27368900609378
37296,5,Extend,<<,-286,-29.45,1117,151.3017083443074,177.27368900609378
37398,5,Extend,<<,-249,-26.2,1120,151.3017083443074,177.27368900609378
37501,5,Extend,<<,-212,-22.86,1123,151.3017083443074,177.27368900609378
37602,5,Extend,<<,-175,-19.69,1126,150.98516029703435,177.5902370533667
37705,5,Extend,<<,-138,-16.53,1129,150.98516029703435,177.5902370533667
37807,5,Extend,<<,-101,-13.19,1132,150.91266363511502,177.35168673811276
37910,5,Extend,<<,-64,-10.02,1135,150.91266363511502,177.1367179274088
38013,5,Extend,<<,-27,-6.68,1138,151.2338118630654,177.1367179274088
38116,5,Extend,<<,10,-3.34,1141,150.98788456800148,177.2435825068748
38218,5,Extend,<<,47,-0.18,1144,150.98788456800148,177.00364283647542
38321,5,Extend,<<,84,3.08,1148,150.98904966715511,176.87455778669155
38423,5,Extend,<<,121,6.24,1151,150.7390696673273,175.7245849048679
38526,5,Extend,<<,158,9.58,1154,150.50270425390462,175.66260861566622
38628,5,Extend,<<,195,12.84,1157,149.52936950587556,175.73058605054584
40998,2,Flex,>>,1238,108.84,1228,129.88036886099056,152.6733816727362
41100,2,Flex,>>,1178,108.84,1231,129.24611150328673,152.85012414220031
41202,2,Flex,>>,1118,105.58,1234,128.9127923901835,153.4002871335551
41304,2,Flex,>>,1058,100.48,1237,128.5693413089865,151.79888558291867
41407,2,Flex,>>,998,95.21,1240,127.32497392361391,151.889772639241
41509,2,Flex,>>,938,90.02,1243,126.94683864012826,150.7617977273309
41611,2,Flex,>>,878,84.75,1246,126.43915011733014,150.2518773396924
41713,2,Flex,>>,818,79.56,1249,125.41887728919816,150.2551187030578
41817,2,Flex,>>,758,74.29,1252,124.65477690704392,150.26561230290685
41919,2,Flex,>>,698,69.1,1256,123.56495029863689,149.59346952425676
42021,2,Flex,>>,638,63.91,1259,123.49860364546886,148.73959114848338
42124,2,Flex,>>,578,58.73,1262,123.06046891756951,147.72435568542238
42226,2,Flex,>>,518,53.54,1265,122.32918698549284,147.98958759281922
42328,2,Flex,>>,458,48.09,1268,122.0646722068178,147.78706417482763
42431,2,Flex,>>,398,42.99,1271,121.66195271158566,148.15716923741184
42533,2,Flex,>>,338,37.71,1274,121.92921448223808,147.34749616504922
42636,2,Flex,>>,278,32.44,1277,121.96794092413599,147.59527395918266
42739,2,Flex,>>,218,27.16,1280,121.93624848835104,148.56902141895924
42841,2,Flex,>>,158,21.8,1283,122.77221452415996,148.6371605307275
42943,2,Flex,>>,98,16.53,1286,123.42874309170503,148.9085627674188
43046,2,Flex,>>,38,11.34,1289,124.15540372692844,148.94947400500683
43149,2,Flex,>>,-22,6.15,1292,125.20290293247504,149.05060845532577
43252,2,Flex,>>,-82,0.88,1295,125.46312472558444,149.8567758509553
43354,2,Flex,>>,-142,-4.31,1299,126.11310726593089,149.8463624281584
43457,2,Flex,>>,-202,-9.49,1302,126.24326582249148,150.3583528967179
43559,2,Flex,>>,-262,-14.68,1305,127.11136754171362,150.75443605958517
43661,2,Flex,>>,-322,-19.87,1308,127.39199589678769,150.5432236051297
43763,2,Flex,>>,-382,-25.23,1311,128.422848539907,150.41269806772607
43866,2,Flex,>>,-442,-30.42,1314,129.05068196937395,150.8539057119955
43968,2,Flex,>>,-502,-35.78,1317,129.1995745171461,151.8563308506239
44070,2,Flex,>>,-562,-40.97,1320,129.85370531184,151.8408580506994
