Time(ms),MotorID,SensorA0,∠ABD_smooth,cycle
185645,4,311,9.943266345913417,5
185755,4,308,11.268165459428904,5
185865,4,306,12.796755635569207,5
185975,4,306,13.75186905072379,5
186085,4,305,14.060682598496104,5
186196,4,308,14.099743272939838,5
186307,4,303,14.115646745335663,5
186417,4,304,14.44296806352629,5
186527,4,301,14.807658047829657,5
186636,4,297,14.916463224976464,5
186746,4,299,14.887475059935458,5
186856,4,299,14.97600316612455,5
186965,4,296,15.264285793832547,5
187075,4,297,15.53267706426805,5
187185,4,305,15.65547073315082,5
187295,4,311,15.79703780946215,5
187405,4,314,15.93564665496458,5
187515,4,320,15.85643533365252,5
187625,4,319,15.677918811171514,5
211272,4,455,6.828401546083581,6
211381,4,456,4.969006279239938,6
211490,4,456,2.3808391562718856,6
211600,4,454,0.8835891378139513,6
211710,4,456,-0.6356293723598128,6
211819,4,455,-3.1027427717140963,6
211929,4,455,-4.984965116659702,6
212038,4,453,-6.418582286316862,6
212148,4,456,-7.667184336930706,6
212258,4,454,-9.635074543488766,6
212367,4,456,-11.142747844223107,6
212477,4,455,-12.50744924664816,6
212586,4,453,-14.351947545632566,6
212696,4,453,-15.795939835844573,6
212805,4,455,-16.595939727701058,6
212915,4,454,-16.946259944251093,6
213024,4,452,-17.30386398571687,6
213134,4,452,-17.23970914257621,6
213243,4,449,-17.104946131541972,6
213353,4,449,-16.516534861304045,6
213463,4,448,-15.880290452758612,6
213573,4,443,-15.167643620835117,6
213683,4,444,-14.457215898755877,6
213792,4,440,-13.70766312813306,6
213902,4,437,-12.95699735501096,6
214011,4,435,-12.230452557407622,6
214121,4,432,-11.178786299760544,6
214231,4,427,-10.328263695852872,6
214340,4,424,-9.678539108898692,6
214450,4,419,-8.751433179466355,6
214560,4,412,-7.15190074090618,6
214670,4,412,-5.806939636719197,6
214779,4,406,-4.579409802596212,6
214889,4,402,-3.0470735228102743,6
214999,4,395,-1.7245980668667822,6
215108,4,393,-0.4383761782148434,6
215218,4,384,1.3684661562784526,6
215328,4,378,2.857193242846607,6
215437,4,369,3.9474870753097777,6
215547,4,355,4.730564016538804,6
215657,4,339,6.093449260516668,6
215766,4,330,7.090306634198347,6
215876,4,322,8.10040519918822,6
215986,4,309,9.517072944629874,6
216096,4,308,10.182842600218857,6
216205,4,304,10.898763843403644,6
216315,4,300,11.575636107250668,6
216425,4,304,12.046848920377183,6
216535,4,303,12.40656899656296,6
216645,4,301,12.893827533236385,6
216755,4,302,13.574775796549163,6
216865,4,301,13.998196940950308,6
216976,4,300,14.164283550551165,6
217086,4,298,14.272152359054193,6
217195,4,296,14.593952307270648,6
217305,4,295,15.209188497725648,6
217415,4,297,15.759429733864826,6
217525,4,298,15.788237167634165,6
217634,4,300,15.634220950242092,6
217744,4,305,15.58453572606366,6
217854,4,308,15.80234757664899,6
217964,4,309,15.875751439656838,6
