Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,L_est_cm,theta_from_R(compose),phase_used
145229,2,Flex,>>,-2114,-174.33,510,509,703,61.62814779641553,32.78604054861359,94.41418834502912,-4.732987890126318,81.38176326139856,Flex
145243,3,Flex,>>,-3242,-274.11,508,508,697,61.314123462670366,32.70511993347758,94.01924339614794,-4.722168826588969,81.4810731325412,Flex
145324,1,Flex,>>,888,87.03,520,515,714,60.62577022486012,32.660335975561914,93.28610620042204,-4.796298654351847,80.78361657312061,Flex
145338,2,Flex,>>,-2178,-179.6,519,512,707,60.62577022486012,32.660335975561914,93.28610620042204,-4.764986904453061,81.08307420926971,Flex
145353,3,Flex,>>,-3308,-279.82,515,513,707,60.26449147204563,32.694277591382544,92.95876906342818,-4.7755005171335405,80.98331707824835,Flex
145433,1,Flex,>>,849,83.78,522,519,715,59.40969714805985,32.77208156658662,92.18177871464647,-4.836978576217852,80.38395137646422,Flex
145448,2,Flex,>>,-2242,-184.88,519,513,711,58.95971227787544,32.82880101714214,91.78851329501758,-4.7755005171335405,80.98331707824835,Flex
145463,3,Flex,>>,-3374,-285.36,517,514,711,58.95971227787544,32.82880101714214,91.78851329501758,-4.785937767099802,80.88349208972808,Flex
145544,1,Flex,>>,810,80.44,524,522,727,57.6122355447164,32.75677659048623,90.36901213520264,-4.866686709118075,80.08450221547628,Flex
145558,2,Flex,>>,-2306,-190.15,520,517,736,57.6122355447164,32.75677659048623,90.36901213520264,-4.8167913407132845,80.58378263934974,Flex
145573,3,Flex,>>,-3440,-290.9,521,518,754,57.6122355447164,32.75677659048623,90.36901213520264,-4.826923139822678,80.48385824706844,Flex
145653,1,Flex,>>,771,77.27,534,531,727,56.43437099832681,32.16396268021654,88.59833367854336,-4.951687521251006,79.19238585617728,Flex
145668,2,Flex,>>,-2370,-195.43,529,524,720,56.43437099832681,32.16396268021654,88.59833367854336,-4.88611031748047,79.88525975247248,Flex
145682,3,Flex,>>,-3506,-296.53,527,522,749,56.05718072248988,31.971961456687477,88.02914217917736,-4.866686709118075,80.08450221547628,Flex
145763,1,Flex,>>,732,74.11,537,534,726,55.20361053681077,31.66589117691373,86.8695017137245,-4.978646596439404,78.89850208240838,Flex
145777,2,Flex,>>,-2434,-201.32,534,528,715,54.71176568406296,31.628321215463963,86.34008689952692,-4.924041181634651,79.48829092897493,Flex
145792,3,Flex,>>,-3572,-302.24,530,525,713,54.71176568406296,31.628321215463963,86.34008689952692,-4.895707577590342,79.78580417921884,Flex
145873,1,Flex,>>,693,71.21,540,533,722,53.68467144912302,31.64601819410958,85.3306896432326,-4.9697366007574875,78.99621367284573,Flex
145887,2,Flex,>>,-2498,-206.77,534,532,718,53.20755719227941,31.660216805134503,84.8677739974139,-4.960750242361355,79.09417990424686,Flex
145902,3,Flex,>>,-3638,-307.52,530,526,714,53.20755719227941,31.660216805134503,84.8677739974139,-4.905228474985996,79.68648033338113,Flex
145982,1,Flex,>>,654,68.22,535,533,718,52.3183379898455,31.22252836260085,83.54086635244636,-4.9697366007574875,78.99621367284573,Flex
145997,2,Flex,>>,-2562,-211.78,534,530,713,52.3183379898455,31.22252836260085,83.54086635244636,-4.942548437426439,79.29081648141421,Flex
146011,3,Flex,>>,-3704,-312.97,530,529,716,52.031145402602434,31.080126587165303,83.11127198976774,-4.933332990887653,79.38945660594655,Flex
146092,1,Flex,>>,615,65.05,546,545,728,51.61350315390325,30.681490282310584,82.29499343621384,-5.071616609802128,77.84462122042146,Flex
146106,2,Flex,>>,-2626,-216.88,539,536,717,51.61350315390325,30.681490282310584,82.29499343621384,-4.996237499660582,78.70390187222193,Flex
146121,3,Flex,>>,-3770,-318.33,536,535,711,51.24653839270059,30.60033889931019,81.84687729201079,-4.987480229407101,78.80105992658116,Flex
146202,1,Flex,>>,576,61.89,541,542,723,50.89082432988783,30.38179380454603,81.27261813443386,-5.047177504182901,78.12772504561983,Flex
146217,2,Flex,>>,-2690,-221.71,538,537,712,50.654826141384135,30.295596902396795,80.95042304378093,-5.004918407199845,78.60704245940049,Flex
146232,3,Flex,>>,-3836,-323.78,530,535,715,50.654826141384135,30.295596902396795,80.95042304378093,-4.987480229407101,78.80105992658116,Flex
146313,1,Flex,<<,576,59.08,543,544,730,50.14276752624359,29.766259170812564,79.90902669705615,-5.063546603976603,77.93858327302462,Flex
146327,2,Flex,<<,-2690,-226.64,542,545,729,50.14276752624359,29.766259170812564,79.90902669705615,-5.071616609802128,77.84462122042146,Flex
