Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,Frame,∠ABC,∠BCD,∠ABC_smooth,∠BCD_smooth
91713,5,Extend,>>,-1247,-103.82,370,297,375,2559,33.907454626997975,23.972329214153234,33.955494524508346,23.973136673864857
91824,5,Extend,>>,-1291,-107.43,371,298,375,2562,33.907454626997975,23.972329214153234,33.9611982116571,23.91767804090114
91936,5,Extend,>>,-1335,-111.38,370,297,372,2566,33.70481581915908,23.972329214153234,33.767177692872764,23.953432806858483
92047,5,Extend,>>,-1379,-115.25,369,295,370,2569,33.907454626997975,23.972329214153234,33.98632356990855,23.822271506119158
92158,5,Extend,>>,-1423,-119.03,369,295,370,2573,34.21203103474042,23.972329214153234,34.06628811587909,23.810622282136976
92270,5,Extend,>>,-1467,-122.9,370,294,367,2576,34.35586535913842,23.828494889755234,33.83303385076988,24.069988021343434
92382,5,Extend,>>,-1511,-126.77,367,293,368,2579,33.35639647001082,24.320748563301493,33.50260995367243,24.26383579796216
92493,5,Extend,>>,-1555,-130.55,369,293,366,2583,33.907454626997975,23.605234614973767,33.9523208281918,23.69660339124613
92604,5,Extend,>>,-1599,-134.24,367,292,368,2586,33.907454626997975,23.612340627527345,34.162081599684505,23.623692608984328
92716,5,Extend,>>,-1643,-138.2,370,291,364,2589,34.21203103474042,23.972329214153234,33.96075178122693,23.824434006149794
92826,5,Extend,>>,-1687,-141.98,368,287,366,2593,33.907454626997975,23.612340627527345,33.82145691607734,23.607220940639685
92937,5,Extend,>>,-1731,-145.76,371,285,362,2596,33.76185578110935,23.750833460862424,33.96038732141126,23.447226837665177
93049,5,Extend,>>,-1775,-149.54,366,282,360,2599,33.66188333557136,23.219223456253758,33.80772420358138,23.263275799309014
93159,5,Extend,>>,-1819,-153.41,365,280,362,2603,34.06643218885176,22.284191009925422,33.572364670665884,22.751075026935712
93271,5,Extend,>>,-1863,-157.27,366,278,359,2606,33.209042669467095,22.264780615204586,33.56865929040274,22.03662702242393
93382,5,Extend,>>,-1907,-161.05,368,277,361,2609,33.51452953502758,21.163526908913695,33.49144593773462,21.448974414120777
93493,5,Extend,>>,-1951,-164.75,366,277,362,2613,32.81961480231578,20.37109593703579,32.95677261187737,20.67152979644355
93605,5,Extend,>>,-1995,-168.53,363,274,361,2616,32.52235054721905,19.76623733980938,32.30219560654899,19.90734993803746
93716,5,Extend,>>,-2039,-172.4,364,275,362,2619,30.724460157561793,19.587672560196182,30.889261830218796,19.296372194791648
93827,5,Extend,>>,-2083,-176.26,362,273,360,2623,28.892969904391038,17.115294816946516,29.287992306897063,17.222096010931402
93938,5,Extend,>>,-2127,-180.13,365,274,358,2626,28.3988321662801,15.775161344751496,28.2669636750715,15.906295122057095
94049,5,Extend,>>,-2171,-183.82,365,272,358,2629,26.730945876733784,14.569685182314117,26.58330754403596,14.792278316754249
94160,5,Extend,>>,-2215,-187.6,362,273,362,2633,23.279986863354992,12.541735516546254,23.729918194164135,12.67410014909664
94272,5,Extend,>>,-2259,-191.3,362,272,362,2636,21.909590740600294,10.910378793490423,21.91484701207465,10.81937702973814
94384,5,Extend,>>,-2303,-195.16,360,273,360,2639,19.71912766791553,9.254761775416853,20.284797543775984,9.134824111179627
94496,5,Extend,>>,-2347,-199.03,361,271,360,2643,18.089475518912394,8.274479860872958,18.48183155037042,7.869455938946224
94607,5,Extend,>>,-2391,-202.9,359,271,363,2646,16.91169715191171,5.48261475971475,16.036323401563532,5.405916477713165
94719,5,Extend,>>,-2435,-206.68,357,270,364,2649,12.533392394611525,1.8337668625269146,12.677831453334813,2.163698815156028
