Time(ms),SensorA0,SensorA1,SensorA2
206293,314,289,359
206375,315,290,361
206390,316,289,360
206405,313,289,361
206486,317,291,362
206501,316,291,361
206516,316,289,361
206597,318,293,364
206612,318,293,364
206627,320,290,364
206708,321,295,367
206723,322,294,367
206739,320,296,368
206820,322,301,372
206835,323,299,375
206851,321,300,373
206931,324,301,376
206946,326,301,375
206961,326,302,377
207042,328,304,381
207058,329,303,379
207073,327,302,379
207154,331,303,384
207169,330,304,384
207184,331,301,383
207266,333,305,385
207281,333,304,386
207296,334,304,386
207376,337,305,390
207392,336,305,388
207407,336,305,387
207488,338,304,393
207503,339,306,393
207518,340,305,392
207599,343,308,397
207614,342,307,397
207629,342,306,399
207710,345,307,403
207726,343,308,401
207741,344,306,402
207821,346,307,409
207837,346,309,410
207851,346,307,407
207933,346,308,416
207948,345,308,414
207963,345,309,415
208044,344,308,415
208059,349,310,415
208074,347,308,414
208155,349,310,415
208171,349,308,415
208185,350,310,414
208266,353,310,418
208281,353,310,418
208296,352,309,417
208377,356,310,419
208392,357,309,419
208408,355,309,419
208489,358,311,424
208504,356,310,423
208519,358,311,424
208600,363,310,426
208616,363,312,427
208631,362,308,425
208712,367,311,427
208727,373,310,427
208742,373,310,426
208823,380,312,435
208838,379,311,436
208852,381,311,437
208933,381,311,440
208948,383,311,439
208963,382,311,439
209044,383,314,442
209060,380,312,443
209075,379,312,439
209156,379,313,443
209171,377,313,444
209186,378,312,441
209268,377,313,443
209282,377,312,440
209298,377,311,440
209379,378,312,450
209394,376,313,450
209409,377,314,449
209490,381,313,449
209505,381,313,449
209520,384,314,448
209602,385,313,450
209617,383,313,449
209632,382,312,446
209713,378,316,448
209728,384,314,448
209744,382,312,447
209824,382,313,447
209839,383,314,446
209855,379,311,446
209936,381,314,447
209951,381,313,448
209966,382,313,445
210047,382,314,449
210062,382,314,446
210078,382,311,445
210159,381,311,448
210175,380,311,447
210190,380,312,448
210271,380,314,449
210286,380,312,450
210301,380,311,447
210381,381,313,449
210396,378,312,449
210410,379,311,448
210491,379,313,449
210507,380,312,446
210522,379,313,447
210602,380,312,451
210617,378,312,449
210632,379,311,449
210714,380,314,451
210729,379,312,448
210744,380,313,448
213092,376,314,448
213108,375,314,448
213123,376,313,448
213204,375,312,446
213219,372,310,445
213234,372,312,442
213316,372,312,445
213330,372,313,444
213345,372,310,442
213426,375,311,445
213441,370,311,443
213455,370,309,441
213536,372,312,446
213551,373,311,441
213565,372,309,441
213646,375,311,446
213660,372,309,441
213674,369,308,440
213755,374,313,442
213770,374,313,444
213785,370,307,441
213866,374,313,445
213881,371,310,443
213895,371,307,441
213976,375,311,445
213991,371,310,443
214006,373,311,443
214087,375,311,446
214103,372,310,441
214118,370,310,441
214199,375,313,446
214214,373,310,444
214229,371,311,442
214310,374,311,443
214325,370,310,442
214340,370,309,440
214421,373,313,446
214436,372,307,440
214450,372,309,441
214531,372,311,444
214545,371,310,444
214560,370,309,441
214640,372,312,445
214655,369,310,441
214670,369,310,442
214750,374,313,446
214765,371,310,443
214779,368,307,441
214860,372,312,445
214874,371,311,441
214889,370,308,441
214969,372,313,448
214984,373,309,446
214998,371,309,442
215079,372,311,448
215094,372,311,446
215108,370,310,445
215189,372,311,452
215204,371,309,449
215219,370,311,449
215300,370,314,457
215315,371,312,453
215330,370,311,452
215411,374,313,459
215426,370,310,460
215441,370,308,456
215522,376,315,465
215537,374,314,462
215552,372,313,463
215634,376,321,471
215649,373,320,466
215664,372,317,469
215745,375,326,480
215760,373,324,477
215775,371,322,475
215857,380,329,488
215872,376,325,481
215887,375,325,484
