Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABD_smooth,angle_smooth,dmotor,cycle
45481,1,Flex,>>,1980,180.57,470,350,539,56.66369458074709,187.252,-3.4119999999999777,1
45591,1,Flex,>>,1941,177.23,471,357,551,55.556864078012,183.858,-3.3940000000000055,1
45701,1,Flex,>>,1902,173.89,471,358,559,54.89596879537158,180.53399999999996,-3.3240000000000407,1
45810,1,Flex,>>,1863,170.55,473,365,573,54.11403505691668,177.212,-3.3219999999999743,1
45920,1,Flex,>>,1824,167.3,473,386,616,53.32303014467245,173.908,-3.304000000000002,1
46030,1,Flex,>>,1785,163.78,480,396,633,52.83251094192775,170.55,-3.3579999999999757,1
46140,1,Flex,>>,1746,160.44,485,412,655,52.21008349779842,167.19199999999998,-3.3580000000000325,1
46250,1,Flex,>>,1707,157.1,489,413,653,51.41983791626154,163.834,-3.3579999999999757,1
46359,1,Flex,>>,1668,153.76,503,419,660,49.85347995739628,160.476,-3.358000000000004,1
46469,1,Flex,>>,1629,150.15,509,428,661,48.66330193367863,157.046,-3.430000000000007,1
46579,1,Flex,>>,1590,146.73,514,441,673,47.55162974840973,153.636,-3.4099999999999966,1
46689,1,Flex,>>,1551,143.21,521,444,685,45.67977710262648,150.19,-3.445999999999998,1
46799,1,Flex,>>,1512,140.04,519,449,682,44.32861593595294,146.778,-3.412000000000006,1
46909,1,Flex,>>,1473,136.79,522,454,685,43.27102253378276,143.384,-3.3940000000000055,1
47018,1,Flex,>>,1434,133.63,529,460,688,41.95949945914609,140.07999999999998,-3.304000000000002,1
47128,1,Flex,>>,1395,130.37,533,469,691,41.13006103498623,136.808,-3.2719999999999914,1
47238,1,Flex,>>,1356,126.95,547,481,699,40.43230865127224,133.55599999999998,-3.2520000000000095,1
47348,1,Flex,>>,1317,123.52,553,491,704,39.885795005737,130.252,-3.3039999999999736,1
47458,1,Flex,>>,1278,120.18,562,499,709,39.25321469234193,126.93000000000002,-3.3219999999999885,1
47567,1,Flex,>>,1239,117.01,573,507,710,38.67178568098396,123.60600000000002,-3.323999999999998,1
47677,1,Flex,>>,1200,113.93,577,511,717,38.244641669184745,120.31800000000001,-3.288000000000011,1
47787,1,Flex,>>,1161,110.68,575,511,719,37.44973841024847,117.06400000000001,-3.254000000000005,1
47897,1,Flex,>>,1122,107.34,582,516,722,37.02792674325726,113.828,-3.236000000000004,1
48007,1,Flex,>>,1083,104.09,584,518,725,37.01317668978289,110.61000000000001,-3.2179999999999893,1
48116,1,Flex,>>,1044,100.84,591,524,730,36.6235601180846,107.376,-3.234000000000009,1
48226,1,Flex,>>,1005,97.67,590,524,729,36.244044372803245,104.124,-3.2520000000000095,1
48336,1,Flex,>>,966,94.59,594,527,733,35.78605380559476,100.906,-3.2179999999999893,1
48446,1,Flex,>>,927,91.69,599,531,731,35.352461926668504,97.776,-3.1300000000000097,1
48555,1,Flex,>>,888,88.35,601,536,739,35.25141552419092,94.628,-3.147999999999996,1
48665,1,Flex,>>,849,85.27,600,534,737,34.893269549665334,91.514,-3.1140000000000043,1
48775,1,Flex,>>,810,81.85,601,540,740,34.44720050394983,88.35,-3.1640000000000015,1
48885,1,Flex,>>,771,78.51,606,541,739,34.18316400076111,85.13399999999999,-3.216000000000008,1
48994,1,Flex,>>,732,75.6,596,539,740,34.101153341754355,81.916,-3.2179999999999893,1
49104,1,Flex,>>,693,72.44,596,542,744,33.91270005855443,78.73400000000001,-3.181999999999988,1
49214,1,Flex,>>,654,69.54,598,543,743,33.77545693436987,75.588,-3.146000000000015,1
49323,1,Flex,>>,615,66.37,595,540,743,33.43662764937341,72.492,-3.0959999999999894,1
49433,1,Flex,>>,576,63.12,593,541,741,33.04725124888203,69.41400000000002,-3.0779999999999887,1
