Time(ms),SensorA0,SensorA1,SensorA2
68621,378,286,445
68636,380,286,445
68717,378,287,448
68733,379,289,450
68747,378,288,452
68829,378,288,459
68844,378,287,459
68859,377,286,462
68940,378,288,472
68955,379,287,473
68969,376,286,471
69050,379,288,476
69065,380,286,479
69080,378,287,477
69161,379,287,484
69176,379,284,484
69191,378,286,484
69272,381,289,486
69287,377,287,485
69302,378,287,485
69383,379,287,489
69398,379,287,490
69413,378,287,492
69494,379,287,493
69509,377,287,491
69524,377,287,491
69605,378,288,490
69620,377,287,487
69635,377,287,487
69716,378,287,480
69731,378,287,480
69746,377,287,477
69826,379,288,473
69841,379,287,471
69856,378,286,471
69937,377,288,471
69952,379,287,471
69967,377,287,470
70047,379,288,472
70062,377,286,468
70076,379,288,469
70157,380,288,468
70172,379,287,468
70187,379,286,466
70268,380,288,466
70283,380,287,464
70299,381,289,463
70380,380,288,465
70395,381,287,463
70409,380,288,463
70490,383,288,464
70505,380,287,463
70520,378,286,462
70601,382,288,462
70616,382,289,462
70631,381,287,459
70712,381,288,462
70728,380,288,463
70742,381,287,461
70823,382,288,461
70838,382,287,462
70852,380,287,460
73201,383,289,458
73216,383,290,458
73231,382,289,457
73312,381,288,455
73327,381,287,456
73343,378,286,453
73424,380,288,456
73439,379,287,453
73454,377,285,451
73535,381,287,456
73551,378,287,454
73565,376,284,452
73646,380,287,456
73661,381,287,453
73676,378,285,451
73757,381,288,455
73773,378,286,453
73787,378,286,450
73868,380,288,454
73883,379,286,453
73898,377,285,452
73979,381,288,456
73994,378,286,454
74009,378,285,451
74091,381,288,454
74106,377,287,454
74122,378,284,454
74203,382,288,456
74218,378,286,454
74233,376,286,452
74313,381,288,456
74328,378,287,453
74343,376,285,449
74424,380,289,458
74439,381,286,452
74455,379,288,450
74536,379,289,456
74551,380,288,453
74566,376,286,450
74648,381,289,455
74663,379,286,454
74678,378,286,449
74759,380,289,455
74773,380,287,453
74789,377,284,448
74870,381,288,456
74885,379,287,454
74899,378,286,451
74980,380,288,451
74996,380,288,452
75010,377,286,452
75091,380,288,458
75106,377,286,457
75121,378,289,454
75202,381,289,459
75218,378,286,457
75233,377,286,455
75315,378,289,470
