Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,L_est_cm,theta_from_R(compose),phase_used
63888,6,Extend,>>,-1731,-137.41,355,267,357,29.14829230311198,15.721096962909344,44.86938926602132,-3.5435183225491604,49.50934607748364,Extend
63968,4,Extend,>>,-1187,-96.62,360,272,363,27.554227711293525,14.37762365102391,41.93185136231743,-3.4399455952663325,50.97604408402891,Extend
63983,5,Extend,>>,-2391,-202.9,360,271,359,26.73836610260477,13.76163344536146,40.499999547966226,-3.5089371700942875,50.007408727758566,Extend
63997,6,Extend,>>,-1779,-141.45,355,269,361,26.73836610260477,13.76163344536146,40.499999547966226,-3.474412927666678,50.49629429818226,Extend
64078,4,Extend,>>,-1232,-100.48,355,269,363,24.6902427216182,12.032676737284229,36.72291945890243,-3.4399455952663325,50.97604408402891,Extend
64092,5,Extend,>>,-2435,-206.68,355,269,362,24.6902427216182,12.032676737284229,36.72291945890243,-3.457172147713097,50.737308585882126,Extend
64107,6,Extend,>>,-1827,-145.23,352,266,359,24.6902427216182,12.032676737284229,36.72291945890243,-3.5089371700942875,50.007408727758566,Extend
64188,4,Extend,<<,-1232,-104.18,358,272,364,23.540751463079005,10.421806492938432,33.962557956017434,-3.4227332703263835,51.21250594389575,Extend
64203,5,Extend,<<,-2435,-210.55,359,271,361,23.540751463079005,10.421806492938432,33.962557956017434,-3.474412927666678,50.49629429818226,Extend
64217,6,Extend,<<,-1827,-148.92,358,271,364,23.05059578912059,9.898811604285838,32.949407393406425,-3.4227332703263835,51.21250594389575,Extend
64298,4,Extend,<<,-1187,-105.23,358,272,364,22.30864140542908,8.905962653325407,31.214604058754485,-3.4227332703263835,51.21250594389575,Extend
64312,5,Extend,<<,-2391,-211.69,358,272,365,21.98270311084409,8.40745618442716,30.390159295271246,-3.405535172893251,51.44669931250127,Extend
64327,6,Extend,<<,-1779,-150.15,365,274,367,21.98270311084409,8.40745618442716,30.390159295271246,-3.371181660547433,51.908301142730636,Extend
64408,4,Extend,<<,-1142,-104.44,363,274,369,21.1885423216892,7.7453338254707935,28.933876147159996,-3.336885058228879,52.36089066577686,Extend
64422,5,Extend,<<,-2347,-210.55,361,273,367,20.730703392340757,7.427542446340194,28.15824583868095,-3.371181660547433,51.908301142730636,Extend
