Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABD_smooth,angle_smooth,dmotor,L_cm,cycle,L_rel_cm
151723,4,Extend,>>,696,67.34,473,392,580,-17.86972405878043,75.09599999999999,-3.867999999999995,1.3106724550776616,4,-0.8626115295056778
151834,4,Extend,>>,651,63.47,472,393,577,-17.22280242248189,71.21,-3.8859999999999957,1.242848960345162,4,-0.9304350242381774
151945,4,Extend,>>,606,59.6,470,391,568,-16.83606891655434,67.33999999999999,-3.8700000000000045,1.1753047182929812,4,-0.9979792662903582
152057,4,Extend,>>,561,55.82,470,387,564,-16.453886702620867,63.487999999999985,-3.852000000000004,1.1080746355061597,4,-1.0652093490771797
152168,4,Extend,>>,516,52.04,470,387,557,-16.456972643207322,59.653999999999996,-3.833999999999989,1.0411587119846972,4,-1.1321252725986422
152279,4,Extend,>>,471,48.09,466,383,549,-16.390896776629585,55.803999999999995,-3.8500000000000014,0.9739635357829156,4,-1.1993204488004237
152390,4,Extend,>>,426,44.13,461,378,536,-15.777927425363632,51.93599999999999,-3.868000000000002,0.9064542003157748,4,-1.2668297842675647
152502,4,Extend,>>,381,40.35,456,375,524,-15.046978131016942,48.086,-3.8499999999999943,0.8392590241139933,4,-1.3340249604693462
152613,4,Extend,>>,336,36.57,453,367,510,-14.260619457987554,44.23599999999999,-3.8500000000000085,0.7720638479122115,4,-1.4012201366711279
152724,4,Extend,>>,291,32.7,449,358,496,-13.411040468925744,40.367999999999995,-3.867999999999995,0.7045545124450708,4,-1.4687294721382687
152835,4,Extend,>>,246,28.92,444,350,478,-12.696078956748847,36.53399999999999,-3.834000000000003,0.6376385889236083,4,-1.5356453956597311
152946,4,Extend,>>,201,24.97,439,347,470,-11.971095080200447,32.702,-3.8319999999999936,0.5707575719871856,4,-1.6025264125961538
153057,4,Extend,>>,156,21.19,435,340,457,-11.1895129571442,28.869999999999997,-3.8320000000000007,0.5038765550507629,4,-1.6694074295325765
153167,4,Extend,>>,111,17.41,432,332,445,-10.888987879781109,25.037999999999993,-3.8320000000000043,0.4369955381143401,4,-1.7362884464689992
153277,4,Extend,>>,66,13.63,426,330,439,-10.866299141457173,21.223999999999997,-3.8139999999999965,0.3704286804432764,4,-1.802855304140063
153387,4,Extend,>>,21,9.85,423,323,435,-10.2449761979479,17.409999999999993,-3.8140000000000036,0.30386182277221263,4,-1.8694221618111269
153497,4,Extend,>>,-24,6.07,418,325,428,-9.10044799385375,13.629999999999995,-3.7799999999999976,0.23788837704682703,4,-1.9353956075365124
153609,4,Extend,>>,-69,2.37,411,321,423,-8.049450025631764,9.865999999999996,-3.7639999999999993,0.17219418400176048,4,-2.0010898005815787
153719,4,Extend,>>,-114,-1.49,406,319,415,-6.68110029139622,6.085999999999994,-3.780000000000002,0.1062207382763748,4,-2.0670632463069647
153831,4,Extend,>>,-159,-5.19,399,312,408,-5.758281535595412,2.321999999999994,-3.7640000000000002,0.04052654523130823,4,-2.132757439352031
153942,4,Extend,>>,-204,-8.97,392,309,402,-4.916487016419115,-1.442000000000006,-3.764,-0.025167647813758336,4,-2.1984516323970977
154053,4,Extend,>>,-249,-12.92,377,305,398,-3.2547549636071715,-5.240000000000006,-3.7980000000000005,-0.09145525280450298,4,-2.2647392373878423
154163,4,Extend,>>,-294,-16.7,370,300,391,-1.8736594656349224,-9.054000000000006,-3.813999999999999,-0.1580221104755667,4,-2.331306095058906
154275,4,Extend,>>,-339,-20.57,363,300,388,-0.7906264471053477,-12.870000000000005,-3.815999999999999,-0.22462387473167028,4,-2.39790785931501
154387,4,Extend,>>,-384,-24.18,356,296,385,0.4266476305197982,-16.668000000000006,-3.798000000000002,-0.29091147972241493,4,-2.4641954643057544
154498,4,Extend,>>,-429,-27.87,348,294,383,1.7186293640804515,-20.448000000000008,-3.780000000000001,-0.35688492544780065,4,-2.53016891003114
154608,4,Extend,>>,-474,-31.47,340,290,378,3.2135573035372023,-24.158000000000005,-3.7099999999999973,-0.42163664069679024,4,-2.5949206252801296
154720,4,Extend,>>,-519,-35.25,329,289,378,4.504594066378193,-27.868000000000006,-3.710000000000001,-0.48638835594577984,4,-2.659672340529119
154831,4,Extend,>>,-564,-39.3,314,286,375,5.153537009358583,-31.614000000000004,-3.7459999999999987,-0.5517683897254875,4,-2.725052374308827
154942,4,Extend,>>,-609,-43.25,309,287,374,5.947436486344667,-35.428000000000004,-3.814,-0.6183352473965511,4,-2.7916192319798903
155054,4,Extend,>>,-654,-47.38,307,285,374,6.8821165219464175,-39.330000000000005,-3.902000000000001,-0.68643799480937,4,-2.8597219793927096
155165,4,Extend,>>,-699,-51.16,304,286,375,7.3990923976987935,-43.26800000000001,-3.9380000000000024,-0.7551690607529067,4,-2.928453045336246
155276,4,Extend,>>,-744,-54.86,302,280,373,8.056824726618835,-47.190000000000005,-3.921999999999997,-0.8236208740161242,4,-2.9969048585994633
155387,4,Extend,>>,-789,-58.81,300,281,375,9.863648358168708,-51.092000000000006,-3.902000000000001,-0.8917236214289429,4,-3.065007606012282
155499,4,Extend,>>,-834,-62.59,298,279,376,11.094179039494582,-54.960000000000015,-3.868000000000009,-0.9592329568960838,4,-3.132516941479423
155610,4,Extend,>>,-879,-66.64,295,276,375,11.525336515336011,-58.812,-3.8519999999999825,-1.026463039682905,4,-3.1997470242662445
