Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,angle_smooth,dmotor,cycle,L_est_cm,theta_from_R(compose)
187844,5,Extend,>>,-1071,-87.56,379,376,480,5.649487029663756,0.7884712421492382,6.4379582718129935,-80.054,-3.7620000000000005,5,-1.0683015238462725,25.115740195603493
187954,5,Extend,>>,-1115,-91.43,375,371,472,4.899628450905203,0.0154555694524628,4.915084020357666,-83.834,-3.780000000000001,5,-1.1706637720048132,21.54794812612274
188065,5,Extend,>>,-1159,-95.21,372,368,468,4.464462354056535,-0.7249213403387522,3.7395410137177834,-87.614,-3.780000000000001,5,-1.2323590254583405,19.524562949031395
188175,5,Extend,>>,-1203,-98.99,369,367,469,3.822738729457327,-1.424654464763243,2.3980842646940843,-91.39399999999999,-3.779999999999987,5,-1.2529704273692501,18.869864416233
188285,5,Extend,>>,-1247,-102.59,364,360,464,2.96673213128974,-2.307933737085946,0.658798394203794,-95.156,-3.7620000000000147,5,-1.3978986847152228,14.567352267369508
188395,5,Extend,>>,-1291,-106.2,358,353,457,2.6664904338894395,-3.0005454314183906,-0.33405499752895107,-98.884,-3.7279999999999944,5,-1.5439617190080066,10.764357947198274
188505,5,Extend,>>,-1335,-109.98,352,351,451,2.045560995365458,-3.1923387686381863,-1.1467777732727282,-102.59400000000001,-3.710000000000008,5,-1.5859024429390327,9.771279810669355
188616,5,Extend,>>,-1379,-113.93,343,349,445,1.18939984459286,-3.673364728811386,-2.4839648842185262,-106.338,-3.7439999999999856,5,-1.6279358017228596,8.820288926607653
188728,5,Extend,>>,-1423,-117.71,335,344,437,0.4573907754086975,-4.211855963360569,-3.7544651879518716,-110.08200000000002,-3.744000000000028,5,-1.7334244761634308,6.628868410377611
188839,5,Extend,>>,-1467,-121.49,327,340,430,-0.2393462894669082,-4.826151940363418,-5.065498229830326,-113.862,-3.7799999999999727,5,-1.8182322725534916,5.069533211368352
188951,5,Extend,>>,-1511,-125.19,323,337,414,-0.8051305029214054,-5.28345435323002,-6.088584856151425,-117.66,-3.798000000000002,5,-1.8820812863346394,4.0146339365623085
189062,5,Extend,>>,-1555,-128.97,317,331,401,-1.1485948736732186,-5.321652417919692,-6.47024729159291,-121.458,-3.798000000000002,5,-2.0104045991533415,2.2038696212755715
189174,5,Extend,>>,-1599,-132.84,311,317,388,-1.1869608375680114,-5.453748927311786,-6.640709764879797,-125.23999999999998,-3.7819999999999823,5,-2.31306788224501,-0.4305644638047581
189286,5,Extend,>>,-1643,-136.79,310,308,380,-1.2629436758493116,-5.37019397622727,-6.633137652076582,-129.05599999999998,-3.8160000000000025,5,-2.5100340624773056,-0.9104258164355832
189396,5,Extend,>>,-1687,-140.75,308,299,376,-1.2892614422815172,-5.5701586323062005,-6.859420074587717,-132.908,-3.852000000000004,5,-2.7088760984788194,-0.40751468988552286
189509,5,Extend,>>,-1731,-144.7,305,288,369,-1.10829783791263,-5.39239962614393,-6.50069746405656,-136.81,-3.9020000000000152,5,-2.954452712043805,1.5827572705315869
189621,5,Extend,>>,-1775,-148.48,305,283,367,-0.788464856672547,-4.8939048497122695,-5.682369706384817,-140.712,-3.901999999999987,5,-3.0670047940104435,3.000604287654714
189733,5,Extend,>>,-1819,-152.35,302,280,369,-0.30876432845169,-4.605820691163717,-4.914585019615407,-144.61399999999998,-3.901999999999987,5,-3.1348139477488295,4.008241951045261
189845,5,Extend,>>,-1863,-156.04,303,276,363,0.3531535146959427,-4.146059271896071,-3.7929057572001286,-148.464,-3.8500000000000227,5,-3.225550374718147,5.537049090138913
189956,5,Extend,>>,-1907,-159.91,302,275,366,0.7708967222171255,-3.434557989510604,-2.6636612672934783,-152.296,-3.8319999999999936,5,-3.248292378243477,5.952601901309781
190070,5,Extend,>>,-1951,-163.69,301,274,366,1.184650862807518,-3.012012960272202,-1.827362097464684,-156.094,-3.798000000000002,5,-3.271057540482007,6.381574348984442
190182,5,Extend,>>,-1995,-167.38,299,271,367,2.1294262768726613,-2.978126457818337,-0.8487001809456758,-159.874,-3.780000000000001,5,-3.339491979476799,7.74940654907224
190296,5,Extend,>>,-2039,-170.99,300,273,367,3.0960873720674256,-2.50273079300564,0.5933565790617856,-163.602,-3.7280000000000086,5,-3.2938458614337374,6.824006116782164
190407,5,Extend,>>,-2083,-174.68,299,270,365,4.077885063783652,-2.037218054778558,2.0406670090050945,-167.33,-3.7280000000000086,5,-3.3623497765681303,8.232454782651384
