Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,angle_smooth,dmotor,L_cm,cycle,L_rel_cm
96423,5,Extend,>>,-983,-80.09,377,379,478,5.902744678041751,1.8713866860995827,7.774131364141334,-72.512,-3.798000000000002,-1.2655731472061282,2,-1.5137938734247618
96533,5,Extend,>>,-1027,-83.78,375,374,465,5.128069012532247,1.1287415854821554,6.256810598014402,-76.292,-3.780000000000001,-1.331546592931514,2,-1.5797673191501476
96644,5,Extend,>>,-1071,-87.56,371,367,454,4.08760472627953,0.5134304517680055,4.601035178047535,-80.054,-3.7620000000000005,-1.3972058793915405,2,-1.645426605610174
96754,5,Extend,>>,-1115,-91.43,365,358,442,3.5476579573142493,0.0777666498050766,3.6254246071193257,-83.834,-3.780000000000001,-1.4631793251169263,2,-1.7114000513355598
96864,5,Extend,>>,-1159,-95.3,360,354,431,3.0669806171027627,-0.5717751069571302,2.4952055101456327,-87.632,-3.798000000000002,-1.5294669301076709,2,-1.7776876563263044
96974,5,Extend,>>,-1203,-99.08,356,346,418,2.324891316526833,-0.7255861674438691,1.5993051490829637,-91.42999999999999,-3.7979999999999876,-1.5957545350984155,2,-1.843975261317049
97083,5,Extend,>>,-1247,-102.68,346,341,409,1.8132096918473544,-1.1958167446262178,0.6173929472211366,-95.21000000000001,-3.7800000000000153,-1.6617279808238012,2,-1.9099487070424348
97193,5,Extend,>>,-1291,-106.37,341,338,400,1.5318150484426285,-1.6722541527507064,-0.14043910430807793,-98.97200000000001,-3.7620000000000005,-1.727387267283828,2,-1.9756079935024615
97303,5,Extend,>>,-1335,-110.24,335,336,393,0.8971371745662992,-1.8792382078111287,-0.9821010332448296,-102.73400000000001,-3.7620000000000005,-1.7930465537438547,2,-2.0412672799624882
97413,5,Extend,>>,-1379,-114.11,331,330,387,0.3111061464477839,-2.567637235760151,-2.256531089312367,-106.49600000000001,-3.7620000000000005,-1.8587058402038814,2,-2.1069265664225147
97524,5,Extend,>>,-1423,-117.98,326,327,385,-0.0919816891239631,-3.124761523411024,-3.216743212534987,-110.276,-3.779999999999987,-1.9246792859292667,2,-2.1729000121479003
97633,5,Extend,>>,-1467,-121.67,322,318,382,-0.5980412338207309,-3.577893918105936,-4.175935151926667,-114.074,-3.798000000000002,-1.9909668909200116,2,-2.239187617138645
97744,5,Extend,>>,-1511,-125.45,319,316,375,-0.6763350965044974,-4.090671659306213,-4.76700675581071,-117.89000000000001,-3.8160000000000167,-2.0575686551761154,2,-2.305789381394749
97855,5,Extend,>>,-1555,-129.14,317,307,371,-0.7458251269548998,-4.481759111791164,-5.227584238746064,-121.67,-3.779999999999987,-2.123542100901501,2,-2.3717628271201345
