Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,angle_smooth,L_cm,delta_motor,time_diff,cycle
43457,2,Flex,>>,-202,-9.49,1302,126.24326582249148,150.3583528967179,0.914,0.01595230936322817,-5.204000000000001,103.0,1
43559,2,Flex,>>,-262,-14.68,1305,127.11136754171362,150.75443605958515,-4.29,-0.07487462491055674,-5.204,102.0,1
43661,2,Flex,>>,-322,-19.87,1308,127.39199589678768,150.5432236051297,-9.494,-0.16570155918434165,-5.204,102.0,1
43763,2,Flex,>>,-382,-25.23,1311,128.422848539907,150.41269806772607,-14.716,-0.2568426527234855,-5.2219999999999995,102.0,1
43866,2,Flex,>>,-442,-30.42,1314,129.05068196937395,150.8539057119955,-19.938,-0.3479837462626294,-5.2219999999999995,103.0,1
43968,2,Flex,>>,-502,-35.78,1317,129.1995745171461,151.8563308506239,-25.196,-0.4397531583324913,-5.258000000000003,102.0,1
44070,2,Flex,>>,-562,-40.97,1320,129.85370531184,151.8408580506994,-30.454,-0.5315225704023532,-5.257999999999999,102.0,1
44172,2,Flex,>>,-622,-46.15,1323,130.18985757374708,151.99071270585677,-35.71,-0.623257075887175,-5.256,102.0,1
44275,2,Flex,>>,-682,-51.34,1326,130.95529261896183,153.61525287668994,-40.932,-0.7143981694263191,-5.222000000000001,103.0,1
44377,2,Flex,>>,-742,-56.62,1329,132.5527971817589,153.60465557969323,-46.172000000000004,-0.8058534222308219,-5.240000000000002,102.0,1
44480,2,Flex,>>,-802,-61.8,1332,133.35549325987037,154.04396777534893,-51.376,-0.8966803565046068,-5.2039999999999935,103.0,1
44582,2,Flex,>>,-862,-66.99,1335,133.73737911609683,154.20791638508314,-56.58,-0.9875072907783916,-5.204000000000001,102.0,1
44684,2,Flex,>>,-922,-72.26,1338,133.64162324767904,155.4943929430848,-61.802,-1.0786483843175356,-5.222000000000001,102.0,1
44787,2,Flex,>>,-982,-77.45,1342,135.64770056204557,155.3191687423611,-67.024,-1.1697894778566795,-5.222000000000001,103.0,1
44889,2,Flex,>>,-1042,-82.73,1345,136.44990535202675,155.77727816920336,-72.24600000000001,-1.2609305713958234,-5.222000000000008,102.0,1
44991,2,Flex,>>,-1102,-87.91,1348,137.16364084507583,156.2496531767452,-77.468,-1.3520716649349673,-5.221999999999994,102.0,1
45094,2,Flex,>>,-1162,-93.19,1351,138.31740344460434,157.02220137807538,-82.708,-1.44352691773947,-5.239999999999995,103.0,1
45196,2,Flex,>>,-1222,-98.37,1354,139.1221732034599,157.14729168925874,-87.92999999999999,-1.5346680112786137,-5.221999999999994,102.0,1
45298,2,Flex,>>,-1282,-103.56,1357,139.84011248884707,158.26819176647848,-93.152,-1.6258091048177579,-5.222000000000008,102.0,1
45401,2,Flex,>>,-1342,-108.92,1360,140.71059313749967,159.09759838728172,-98.39,-1.7172294510372208,-5.2379999999999995,103.0,1
45504,2,Flex,>>,-1402,-114.11,1363,141.84277341263095,158.5969509680122,-103.63,-1.8086847038417235,-5.239999999999995,103.0,1
45607,2,Flex,>>,-1462,-119.56,1366,142.68398182973397,158.76976942297287,-108.904,-1.9007333685919046,-5.274000000000001,103.0,1
45710,2,Flex,>>,-1522,-124.92,1369,142.88572205087772,159.50158189652714,-114.21400000000001,-1.9934103518728037,-5.3100000000000165,103.0,1
45813,2,Flex,>>,-1582,-130.2,1372,143.04955846033414,159.39868063107204,-119.542,-2.0864014944190616,-5.327999999999989,103.0,1
45915,2,Flex,>>,-1642,-135.12,1375,143.75423514635932,159.62797347524707,-124.78200000000001,-2.1778567472235646,-5.240000000000009,102.0,1
46018,2,Flex,>>,-1702,-140.4,1378,143.75423514635932,161.04391613609334,-130.04000000000002,-2.2696261592934266,-5.25800000000001,103.0,1
46120,2,Flex,>>,-1762,-145.41,1382,145.3222057233875,161.16194493302703,-135.21,-2.359859681621533,-5.1699999999999875,102.0,1
46223,2,Flex,>>,-1822,-150.51,1385,145.1339379440023,162.4928369515397,-140.328,-2.449185632738603,-5.117999999999995,103.0,1
46325,2,Flex,>>,-1882,-155.6,1388,145.66476295028178,162.1228506006239,-145.40800000000002,-2.537848358739915,-5.0800000000000125,102.0,1
46428,2,Flex,>>,-1942,-160.79,1391,145.66476295028178,162.72382691067168,-150.542,-2.6274535625373034,-5.133999999999986,103.0,1
46531,2,Flex,>>,-2002,-165.8,1394,146.36440526403487,162.7406829036913,-155.62199999999999,-2.716116288538615,-5.079999999999984,103.0,1
46633,2,Flex,>>,-2062,-170.99,1397,146.28696363199023,163.16111503505368,-160.738,-2.8054073330706455,-5.116000000000014,102.0,1
46736,2,Flex,>>,-2122,-175.82,1400,147.06573915406548,163.34829658387676,-165.8,-2.8937558998065986,-5.062000000000012,103.0,1
46838,2,Flex,>>,-2182,-180.84,1403,147.48893104515156,163.7353685143258,-170.848,-2.9818601204472723,-5.048000000000002,102.0,1
46941,2,Flex,>>,-2242,-185.85,1406,148.1845222644736,164.18851082740102,-175.85999999999999,-3.0693360225572275,-5.011999999999972,103.0,1
47044,2,Flex,>>,-2302,-190.86,1409,148.80540202714775,165.2214435873909,-180.872,-3.156811924667184,-5.012000000000029,103.0,1
