Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,angle_smooth,L_cm,delta_motor
61164,5,Extend,<<,-1988,-173.98,1833.0,152.77564789497808,164.94204848772972,-169.406,-2.956692472633514,-2.6899999999999977
61267,5,Extend,<<,-1951,-174.07,1836.0,152.45058211986728,164.5466705730695,-171.482,-2.9929255079049164,-2.0759999999999934
61369,5,Extend,<<,-1914,-171.87,1839.0,152.42530898796082,164.51644476792902,-172.51999999999998,-3.011042025540617,-1.0379999999999825
83760,5,Extend,>>,47,8.62,2511.0,174.940353948583,170.27909581316644,13.959999999999999,0.2436479635784084,-0.844000000000003
83863,5,Extend,>>,10,5.54,2514.0,176.6426575444683,171.393569373765,11.639999999999999,0.20315632493213995,-2.3200000000000003
83965,5,Extend,>>,-27,2.29,2517.0,177.7091089503724,172.57274797923534,8.669999999999998,0.15132004614790834,-2.9700000000000006
84067,5,Extend,>>,-64,-0.97,2520.0,179.97198250614392,172.85651731090272,5.47,0.09546951008408983,-3.1999999999999984
84169,5,Extend,>>,-101,-4.22,2523.0,178.97034454390695,173.88252272977505,2.252,0.0393048147549123,-3.218
84272,5,Extend,>>,-138,-7.38,2526.0,177.46359256553703,173.8212834948499,-0.9479999999999998,-0.01654572130890624,-3.1999999999999997
84374,5,Extend,>>,-175,-10.73,2529.0,177.53538884597086,174.8786834892213,-4.202,-0.07333873516880172,-3.254
84476,5,Extend,>>,-212,-13.89,2532.0,176.6355791307775,174.73991133099813,-7.438,-0.12981758976333824,-3.2359999999999998
84579,5,Extend,>>,-249,-17.05,2535.0,176.32158791725035,175.0502024681478,-10.654,-0.18594737850747586,-3.216
84681,5,Extend,>>,-286,-20.22,2538.0,175.59701408883436,175.72089144459818,-13.854000000000003,-0.24179791457129446,-3.200000000000003
84783,5,Extend,>>,-323,-23.47,2541.0,174.89197104523328,175.9989513293976,-17.072,-0.2979626099004719,-3.2179999999999964
84886,5,Extend,>>,-360,-26.73,2545.0,175.13345344980783,177.11748741900917,-20.272,-0.3538131459642905,-3.1999999999999993
84988,5,Extend,>>,-397,-29.8,2548.0,174.8263814981337,176.68645109242968,-23.454,-0.40934952276275005,-3.182000000000002
85090,5,Extend,>>,-434,-33.05,2551.0,174.67136842909636,176.65744757053776,-26.653999999999996,-0.4652000588265685,-3.1999999999999957
85192,5,Extend,>>,-471,-36.31,2554.0,174.79509253859467,176.6551621328907,-29.872000000000003,-0.5213647541557462,-3.218000000000007
85294,5,Extend,>>,-508,-39.47,2557.0,174.7032873723924,177.05927253011225,-33.072,-0.5772152902195647,-3.1999999999999993
85397,5,Extend,>>,-545,-42.64,2560.0,174.88556068729264,176.74547350332398,-36.254000000000005,-0.6327516670180243,-3.182000000000002
85498,5,Extend,>>,-582,-45.8,2563.0,175.04724974298145,176.77547739348,-39.45399999999999,-0.6886022030818426,-3.1999999999999886
85601,5,Extend,>>,-619,-49.05,2566.0,175.84253691951693,176.44734136178255,-42.653999999999996,-0.7444527391456612,-3.200000000000003
85703,5,Extend,>>,-656,-52.31,2569.0,177.06147818058037,176.187143628579,-45.854,-0.8003032752094799,-3.200000000000003
85806,5,Extend,>>,-693,-55.47,2572.0,177.9488080851321,175.95074339998274,-49.054,-0.8561538112732985,-3.200000000000003
85908,5,Extend,>>,-730,-58.55,2575.0,178.67672563559177,175.28478461161484,-52.236000000000004,-0.9116901880717581,-3.182000000000002
86010,5,Extend,>>,-767,-61.63,2578.0,179.62870602652842,175.3262976600819,-55.402,-0.9669473121898985,-3.165999999999997
86113,5,Extend,>>,-804,-64.97,2581.0,179.62674852786327,175.50766104087617,-58.586,-1.022518595573398,-3.1839999999999975
86215,5,Extend,>>,-841,-68.13,2584.0,178.6438746844847,175.4979970775129,-61.75,-1.0777408131064985,-3.1640000000000015
86317,5,Extend,>>,-878,-71.3,2587.0,178.44462066808515,174.47364887815485,-64.916,-1.1329979372246388,-3.165999999999997
86420,5,Extend,>>,-915,-74.46,2591.0,177.5587959079478,174.19238435377324,-68.098,-1.1885343140230986,-3.182000000000002
86522,5,Extend,>>,-952,-77.71,2594.0,176.35447981267583,174.68643527834527,-71.314,-1.244664102767236,-3.215999999999994
86624,5,Extend,>>,-989,-80.88,2597.0,175.64364771985953,174.0063037216088,-74.49600000000001,-1.3002004795656958,-3.1820000000000164
86727,5,Extend,>>,-1026,-83.96,2600.0,173.26951606538432,172.78573796079328,-77.662,-1.3554576036838364,-3.165999999999997
86829,5,Extend,>>,-1063,-87.12,2603.0,171.08126743893664,172.3254268534025,-80.826,-1.4106798212169367,-3.1639999999999873
86931,5,Extend,>>,-1100,-90.46,2606.0,169.20866923439826,171.3694357645143,-84.02599999999998,-1.466530357280755,-3.1999999999999886
87033,5,Extend,>>,-1137,-93.8,2609.0,167.9651954194932,170.81528853018304,-87.244,-1.5226950526099328,-3.2180000000000177
87135,5,Extend,>>,-1174,-96.97,2612.0,165.85758514521416,170.69071458154215,-90.46199999999999,-1.5788597479391102,-3.2179999999999893
87239,5,Extend,>>,-1211,-100.13,2615.0,163.8497890155044,170.01849218364546,-93.696,-1.635303695948607,-3.234000000000009
87341,5,Extend,>>,-1248,-103.21,2618.0,161.91266135662295,169.60372417344598,-96.914,-1.6914683912777846,-3.2180000000000035
87445,5,Extend,>>,-1285,-106.37,2621.0,160.55846126664505,168.88089417474674,-100.096,-1.7470047680762442,-3.182000000000002
87547,5,Extend,>>,-1322,-109.45,2624.0,159.22142822718823,168.8980717999746,-103.226,-1.8016335736636666,-3.1299999999999955
87650,5,Extend,>>,-1359,-112.97,2627.0,158.62775037950092,167.36561456026794,-106.426,-1.8574841097274852,-3.200000000000003
87752,5,Extend,>>,-1396,-116.22,2630.0,157.98338017311744,166.9792495446627,-109.644,-1.9136488050566627,-3.2180000000000035
87856,5,Extend,>>,-1433,-119.47,2634.0,156.7908155650269,166.07582604537555,-112.896,-1.9704069123315182,-3.2519999999999953
87958,5,Extend,>>,-1470,-122.64,2637.0,155.61616192017513,166.4290995795253,-116.15,-2.0271999261914138,-3.254000000000005
88061,5,Extend,>>,-1507,-125.8,2640.0,155.2570691792112,165.97790363783864,-119.42,-2.0842721927316283,-3.269999999999996
88164,5,Extend,>>,-1544,-128.88,2643.0,155.46417409928793,165.19949450459433,-122.602,-2.139808569530088,-3.182000000000002
88266,5,Extend,>>,-1581,-132.04,2646.0,155.1631048923499,164.75964064218843,-125.76599999999999,-2.1950307870631884,-3.1639999999999873
88369,5,Extend,>>,-1618,-135.47,2649.0,154.51409261440622,164.6099146785452,-128.96599999999998,-2.2508813231270066,-3.1999999999999886
88472,5,Extend,>>,-1655,-138.73,2652.0,154.5387292014262,164.34010592846548,-132.184,-2.3070460184561847,-3.2180000000000177
88574,5,Extend,>>,-1692,-141.8,2655.0,154.49530489799335,164.10544602081922,-135.38400000000001,-2.3628965545200034,-3.200000000000017
