Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,angle_smooth,L_cm,delta_motor
70710,2,Flex,>>,577,58.64,2119.0,123.6613890482394,139.75748428505568,69.01,1.204451716801287,-5.2039999999999935
70813,2,Flex,>>,517,53.36,2122.0,122.4450503226898,140.28044185781155,63.806,1.1136247825275019,-5.204000000000008
70915,2,Flex,>>,457,48.0,2125.0,121.90255792260436,139.85794858964613,58.565999999999995,1.022169529722999,-5.240000000000002
71017,2,Flex,>>,397,42.9,2128.0,121.36008215767504,139.91303522009233,53.34400000000001,0.9310284361838553,-5.221999999999987
71120,2,Flex,>>,337,37.63,2132.0,120.92264292141884,138.85544252287252,48.106,0.8396080899643922,-5.238000000000007
71222,2,Flex,>>,277,32.35,2135.0,120.4568954061063,139.32119003818502,42.848,0.7478386778945303,-5.258000000000003
71325,2,Flex,>>,217,27.08,2138.0,120.4568954061063,139.32119003818502,37.592,0.6561041724097083,-5.256
71427,2,Flex,>>,157,21.71,2141.0,120.6764378950197,139.72286422456324,32.333999999999996,0.5643347603398464,-5.258000000000003
71529,2,Flex,>>,97,16.53,2144.0,121.22037449209796,139.66522005857834,27.060000000000002,0.4722860955896656,-5.273999999999994
71631,2,Flex,>>,37,11.25,2147.0,122.78132349627474,139.44275533119085,21.784000000000002,0.3802025242544448,-5.276
71733,2,Flex,>>,-23,6.07,2150.0,123.46792168579545,139.6352128390734,16.528,0.28846801876962275,-5.256000000000004
71835,2,Flex,>>,-83,0.79,2153.0,123.21807249540248,140.52454593778873,11.27,0.19669860669976094,-5.257999999999999
71938,2,Flex,>>,-143,-4.4,2156.0,124.19340605388882,140.11041756103123,6.048,0.10555751316061705,-5.2219999999999995
72040,2,Flex,>>,-203,-9.58,2159.0,125.59889412806788,139.59810981504015,0.8259999999999998,0.01441641962147316,-5.222
72143,2,Flex,>>,-263,-14.86,2162.0,125.61984392258648,139.74728988141436,-4.396,-0.07672467391767072,-5.2219999999999995
72245,2,Flex,>>,-323,-20.04,2165.0,126.2917217603021,139.71979818638593,-9.618,-0.1678657674568146,-5.222
72348,2,Flex,>>,-383,-25.41,2168.0,127.1850252005114,140.435888172444,-14.857999999999999,-0.2593210202613175,-5.239999999999998
72451,2,Flex,>>,-443,-30.51,2171.0,128.1092553179831,140.0669099910499,-20.08,-0.35046211380046133,-5.2219999999999995
72554,2,Flex,>>,-503,-35.87,2175.0,128.26091253245036,140.40379136024973,-25.338,-0.4422315258703232,-5.258000000000003
72656,2,Flex,>>,-563,-41.05,2178.0,129.17490834495317,140.23496698768778,-30.576,-0.5336518720897863,-5.2379999999999995
72758,2,Flex,>>,-623,-46.24,2181.0,129.342852891715,140.23007625534294,-35.816,-0.6251071248942891,-5.240000000000002
72860,2,Flex,>>,-683,-51.43,2184.0,130.2549474515142,139.8593916208911,-41.02,-0.7159340591680741,-5.204000000000001
72963,2,Flex,>>,-743,-56.79,2187.0,129.97284694713608,140.40575401497827,-46.275999999999996,-0.8076685646528958,-5.255999999999993
73066,2,Flex,>>,-803,-61.98,2190.0,130.1510423849669,140.38441660059766,-51.498000000000005,-0.89880965819204,-5.222000000000008
73168,2,Flex,>>,-863,-67.08,2193.0,130.40233805217585,141.10603003084762,-56.70399999999999,-0.9896714990508645,-5.205999999999989
73270,2,Flex,>>,-923,-72.26,2196.0,129.9716960365942,141.1886159632416,-61.907999999999994,-1.0804984333246495,-5.204000000000001
73373,2,Flex,>>,-983,-77.63,2199.0,130.80013150467602,141.2693377584764,-67.148,-1.1719536861291524,-5.240000000000002
73475,2,Flex,>>,-1043,-82.9,2202.0,131.81467332085393,140.4175284268419,-72.37,-1.2630947796682963,-5.222000000000008
73578,2,Flex,>>,-1103,-88.18,2205.0,131.8838580257859,140.66624936956327,-77.61,-1.3545500324727993,-5.239999999999995
73680,2,Flex,>>,-1163,-93.36,2208.0,132.28311932588645,141.07043912606977,-82.86600000000001,-1.4462845379576215,-5.256000000000014
73783,2,Flex,>>,-1223,-98.64,2211.0,133.16233047242957,140.8743501901517,-88.14200000000001,-1.538368109292842,-5.275999999999996
73886,2,Flex,>>,-1283,-103.91,2215.0,133.03283689861584,141.5433532913964,-93.398,-1.6301026147776638,-5.255999999999986
73988,2,Flex,>>,-1343,-109.19,2218.0,133.5340649183571,141.93494995722864,-98.65599999999999,-1.7218720268475256,-5.257999999999996
74090,2,Flex,>>,-1403,-114.29,2221.0,135.0462311192136,141.6974541677774,-103.878,-1.8130131203866697,-5.222000000000008
74192,2,Flex,>>,-1463,-119.65,2224.0,135.2984775926065,142.5571573399695,-109.136,-1.9047825324565315,-5.257999999999996
74295,2,Flex,>>,-1523,-124.92,2227.0,135.16604751954983,143.7417778288698,-114.39200000000001,-1.9965170379413537,-5.256000000000014
74397,2,Flex,>>,-1583,-130.02,2230.0,136.50085608729344,143.15997502064266,-119.614,-2.0876581314804974,-5.221999999999994
74500,2,Flex,>>,-1643,-135.12,2233.0,136.65590936357714,143.75366727663877,-124.8,-2.178170906488923,-5.185999999999993
74603,2,Flex,>>,-1703,-140.31,2236.0,136.8476102659946,144.30273041113023,-130.004,-2.268997840762708,-5.2039999999999935
74705,2,Flex,>>,-1763,-145.49,2239.0,138.1744917602755,144.4921601996662,-135.17200000000003,-2.3591964565057757,-5.168000000000035
74807,2,Flex,>>,-1823,-150.51,2242.0,138.75030337679897,144.80531552018968,-140.29000000000002,-2.4485224076228453,-5.117999999999995
74910,2,Flex,>>,-1883,-155.78,2245.0,139.56574664189588,145.99842450912195,-145.442,-2.538441770685593,-5.151999999999987
75013,2,Flex,>>,-1943,-160.79,2248.0,140.57410566302795,145.76100560852277,-150.576,-2.6280469744829817,-5.133999999999986
75116,2,Flex,>>,-2003,-165.98,2251.0,140.99369627839124,146.71864138874767,-155.70999999999998,-2.71765217828037,-5.133999999999986
75218,2,Flex,>>,-2063,-171.25,2254.0,142.03141840314663,146.51477099622937,-160.862,-2.807571541343118,-5.152000000000015
75321,2,Flex,>>,-2123,-176.18,2258.0,142.25775795300132,147.443096647936,-165.99599999999998,-2.897176745140507,-5.133999999999986
75423,2,Flex,>>,-2183,-181.19,2261.0,143.26643209355416,147.73278985743306,-171.078,-2.985874377726859,-5.082000000000022
75526,2,Flex,>>,-2243,-186.11,2264.0,143.6538435213324,148.60977587939007,-176.142,-3.074257851047852,-5.063999999999993
75628,2,Flex,>>,-2303,-191.21,2267.0,145.66424466169926,148.51078102168134,-181.18800000000002,-3.1623271651034863,-5.046000000000021
75731,2,Flex,>>,-2363,-195.96,2270.0,145.93607741766755,148.5506668972453,-186.13,-3.2485813367370455,-4.941999999999979
75833,2,Flex,<<,-2363,-200.88,2273.0,145.341830869657,149.22229827592432,-191.07,-3.3348006017855654,-4.939999999999998
75936,2,Flex,<<,-2303,-202.37,2276.0,145.4368830272957,148.9347728064775,-195.30599999999998,-3.408732748900045,-4.23599999999999
76039,2,Flex,<<,-2243,-202.37,2279.0,145.81454202237236,149.01004512521038,-198.558,-3.4654908561749007,-3.2520000000000095
76141,2,Flex,<<,-2183,-198.15,2282.0,144.9928780328348,149.83494773208537,-199.946,-3.489716026192582,-1.3880000000000052
126735,2,Flex,>>,993,94.77,3800.0,129.4209793316222,143.31440990894995,103.35,1.8037977819361395,-1.3359999999999985
126837,2,Flex,>>,933,89.67,3803.0,129.0128653774787,142.85246344434003,99.60400000000001,1.7384177481564322,-3.745999999999981
126940,2,Flex,>>,873,84.31,3806.0,127.93162343487722,142.37535747173212,94.786,1.6543277847953453,-4.818000000000012
127042,2,Flex,>>,813,79.03,3809.0,127.0576468907257,141.24156404092315,89.564,1.5631866912562011,-5.222000000000008
127145,2,Flex,>>,753,73.93,3812.0,125.82017470626366,141.17871650515016,84.342,1.4720455977170575,-5.221999999999994
127247,2,Flex,>>,693,68.66,3815.0,125.54494742904636,140.662262194279,79.12,1.3809045041779135,-5.221999999999994
127350,2,Flex,>>,633,63.38,3818.0,125.0105097170986,140.48594976689668,73.862,1.2891350921080516,-5.25800000000001
127452,2,Flex,>>,573,58.29,3821.0,124.21818114787462,139.9667481875821,68.65799999999999,1.1983081578342665,-5.204000000000008
127554,2,Flex,>>,513,53.01,3825.0,122.49310050607318,139.1715100759318,63.45400000000001,1.107481223560482,-5.203999999999979
127657,2,Flex,>>,453,47.65,3828.0,120.6734921959787,139.48858817362094,58.198,1.0157467180756599,-5.256000000000007
127759,2,Flex,>>,393,42.55,3831.0,120.15657548807818,138.40007921549144,52.976,0.924605624536516,-5.222000000000001
127861,2,Flex,>>,333,37.27,3834.0,118.27257540194444,138.59726763885504,47.754,0.833464530997372,-5.222000000000001
127964,2,Flex,>>,273,32.0,3837.0,117.38275309891338,138.86934117881293,42.495999999999995,0.7416951189275102,-5.258000000000003
128065,2,Flex,>>,213,26.81,3840.0,116.69764108546342,138.1099833406646,37.256,0.6502398661230074,-5.239999999999995
