Time(ms),MotorID,Phase,Direction,Position,Angle(deg),Frame,∠ABC,∠BCD,angle_smooth,L_cm,delta_motor,time_diff,cycle
57365,5,Extend,>>,-730,-58.29,1719,179.7550665915502,167.81154976198093,-52.010000000000005,-0.9077457439622509,-3.1840000000000046,102.0,1
57468,5,Extend,>>,-767,-61.45,1722,179.4037819921285,167.9950637892463,-55.19199999999999,-0.9632821207607103,-3.181999999999988,103.0,1
57570,5,Extend,>>,-804,-64.62,1725,178.95176959061698,168.13355802912537,-58.34000000000001,-1.018225085613492,-3.1480000000000175,102.0,1
57672,5,Extend,>>,-841,-67.87,1728,178.91321854700195,168.67986564946054,-61.488000000000014,-1.0731680504662735,-3.1480000000000032,102.0,1
57774,5,Extend,>>,-878,-71.03,1731,177.32976048059837,168.08392503932055,-64.652,-1.128390267999374,-3.1639999999999873,102.0,1
57877,5,Extend,>>,-915,-74.2,1734,176.78533854560268,168.95306004142302,-67.834,-1.1839266447978336,-3.182000000000002,103.0,1
57979,5,Extend,>>,-952,-77.45,1737,176.4809448354925,169.79907562920684,-71.034,-1.2397771808616522,-3.200000000000003,102.0,1
58083,5,Extend,>>,-989,-80.62,1740,176.18966259446282,170.85132765754605,-74.23400000000001,-1.2956277169254709,-3.200000000000003,104.0,1
58185,5,Extend,>>,-1026,-83.69,1743,174.69103422724635,170.3885409838175,-77.398,-1.3508499344585712,-3.1639999999999873,102.0,1
58288,5,Extend,>>,-1063,-86.86,1747,173.38064898014326,171.38213367289467,-80.56400000000001,-1.4061070585767117,-3.166000000000011,103.0,1
58390,5,Extend,>>,-1100,-90.11,1750,172.2662190595638,172.42712451775486,-83.74600000000001,-1.4616434353751715,-3.182000000000002,102.0,1
58492,5,Extend,>>,-1137,-93.36,1753,171.05368539473727,172.92283496271892,-86.928,-1.5171798121736308,-3.181999999999988,102.0,1
58595,5,Extend,>>,-1174,-96.62,1756,170.64483394318182,173.90650181971262,-90.128,-1.5730303482374492,-3.200000000000003,103.0,1
58697,5,Extend,>>,-1211,-99.69,1759,169.77755555331032,174.42643770217444,-93.328,-1.6288808843012679,-3.200000000000003,102.0,1
58800,5,Extend,>>,-1248,-102.86,1762,168.5614842272761,174.3635248563759,-96.52799999999999,-1.6847314203650863,-3.1999999999999886,103.0,1
58903,5,Extend,>>,-1285,-106.02,1765,167.59600835504312,175.1094622497001,-99.71,-1.7402677971635458,-3.182000000000002,103.0,1
59006,5,Extend,>>,-1322,-109.1,1768,166.69833664199874,175.66641103522144,-102.85799999999999,-1.7952107620163273,-3.147999999999996,103.0,1
59108,5,Extend,>>,-1359,-112.44,1771,165.57152400274563,176.10153213200792,-106.022,-1.850432979549428,-3.1640000000000157,102.0,1
59211,5,Extend,>>,-1396,-115.78,1774,163.71499497399572,176.98400078897663,-109.24000000000001,-1.9065976748786058,-3.2180000000000035,103.0,1
59314,5,Extend,>>,-1433,-118.95,1777,162.0787750451371,178.52693139466444,-112.458,-1.962762370207783,-3.2179999999999893,103.0,1
59416,5,Extend,>>,-1470,-122.2,1780,159.93177792008802,178.55673732482288,-115.694,-2.0192412248023195,-3.236000000000004,102.0,1
59519,5,Extend,>>,-1507,-125.36,1784,159.25125361079034,179.99484750186156,-118.946,-2.075999332077175,-3.2519999999999953,103.0,1
59622,5,Extend,>>,-1544,-128.44,1787,157.69963197099668,179.8690355115587,-122.146,-2.1318498681409936,-3.200000000000003,103.0,1
59724,5,Extend,>>,-1581,-131.6,1790,157.3816573090912,179.29258571164723,-125.30999999999999,-2.187072085674094,-3.1639999999999873,102.0,1
59827,5,Extend,>>,-1618,-134.95,1793,156.74383106843823,179.45336018424115,-128.51,-2.242922621737913,-3.200000000000003,103.0,1
